SEASON,PLAYER_NAME,WON_ROY
1996-97,Allen Iverson,1
1997-98,Tim Duncan,1
1998-99,Vince Carter,1
1999-00,Elton Brand,1
1999-00,Steve Francis,1
2000-01,Mike Miller,1
2001-02,Pau Gasol,1
2002-03,Amar'e Stoudemire,1
2003-04,LeBron James,1
2004-05,Emeka Okafor,1
2005-06,Chris Paul,1
2006-07,Brandon Roy,1
2007-08,Kevin Durant,1
2008-09,Derrick Rose,1
2009-10,Tyreke Evans,1
2010-11,Blake Griffin,1
2011-12,Kyrie Irving,1
2012-13,Damian Lillard,1
2013-14,Michael Carter-Williams,1
2014-15,Andrew Wiggins,1
2015-16,Karl-Anthony Towns,1
2016-17,Malcolm Brogdon,1
2017-18,Ben Simmons,1
2018-19,Luka Doncic,1
2019-20,Ja Morant,1
2020-21,LaMelo Ball,1
2021-22,Scottie Barnes,1
2022-23,Paolo Banchero,1
2023-24,Victor Wembanyama,1
2024-25,Stephon Castle,1